Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
1,26,Media,2,8.0,33,126366
0,32,Other,4,11.0,61,153224
1,30,Other,4,10.0,59,96071
1,27,Other,4,8.5,59,139558
1,24,Engineering,0,7.0,12,70813
0,33,Tech,7,11.5,31,351403
0,36,Sales,6,13.0,35,119724
1,27,Media,2,8.5,24,166602
0,32,Tech,7,11.0,50,225695
1,23,Other,4,6.5,12,68317
0,40,Tech,7,15.0,76,268334
0,25,Other,4,7.5,36,93592
0,24,Media,2,7.0,24,66832
0,30,Media,2,10.0,108,259196
0,34,Sales,6,12.0,34,200791
0,30,Tech,7,10.0,9,196532
0,30,Other,4,10.0,11,102545
0,33,Finance,1,11.5,106,173948
1,27,Operations,3,8.5,7,88267
1,29,Sales,6,9.5,45,141769
0,39,Other,4,14.5,76,124896
0,45,Engineering,0,17.5,33,318362
0,28,Tech,7,9.0,19,140140
1,30,Finance,1,10.0,11,94365
1,39,Engineering,0,14.5,58,295210
0,35,Other,4,12.5,59,252589
1,31,Other,4,10.5,46,116975
0,36,Other,4,13.0,71,271871
0,34,Other,4,12.0,49,207867
1,30,Finance,1,10.0,50,77612
0,40,Other,4,15.0,125,373194
0,23,Other,4,6.5,12,73813
1,27,Sales,6,8.5,13,95301
0,29,Tech,7,9.5,15,115861
0,31,Tech,7,10.5,32,237532
0,44,Tech,7,17.0,37,444751
0,27,Tech,7,8.5,38,100524
0,31,Other,4,10.5,70,209503
0,36,Media,2,13.0,140,370929
1,26,Other,4,8.0,8,105552
0,32,Media,2,11.0,48,267066
0,36,Media,2,13.0,63,220601
0,37,Tech,7,13.5,132,269696
0,40,Other,4,15.0,12,198367
1,38,Tech,7,14.0,93,183606
0,31,Tech,7,10.5,54,158382
1,29,Media,2,9.5,53,141710
0,32,Engineering,0,11.0,60,141451
1,29,Engineering,0,9.5,37,104129
0,47,Other,4,18.5,10,358000
1,32,Other,4,11.0,17,166565
0,27,Other,4,8.5,6,76330
0,28,Operations,3,9.0,8,95094
0,25,Tech,7,7.5,10,138867
0,40,Media,2,15.0,32,391846
1,31,Other,4,10.5,10,179083
0,35,Other,4,12.5,108,183986
0,24,Media,2,7.0,24,102652
0,35,Tech,7,12.5,48,179855
0,25,Media,2,7.5,32,73027
0,39,Other,4,14.5,147,226729
1,29,Tech,7,9.5,32,180489
1,26,Operations,3,8.0,6,44375
0,23,Media,2,6.5,24,71851
0,31,Operations,3,10.5,27,112235
0,29,Other,4,9.5,22,119193
0,33,Tech,7,11.5,56,190281
0,30,Other,4,10.0,49,147990
0,30,Media,2,10.0,22,158994
0,38,Sales,6,14.0,106,213085
0,23,Tech,7,6.5,12,65087
0,34,Tech,7,12.0,64,176492
0,27,Other,4,8.5,14,131914
0,30,Other,4,10.0,15,94555
0,30,Media,2,10.0,40,221303
0,33,Media,2,11.5,20,204163
0,24,Operations,3,7.0,6,44375
1,28,Other,4,9.0,9,102266
0,31,Other,4,10.5,33,188562
1,29,Tech,7,9.5,41,156771
0,37,Engineering,0,13.5,45,345941
0,24,Tech,7,7.0,24,76752
1,30,Finance,1,10.0,68,110314
0,27,Other,4,8.5,12,106778
1,33,Other,4,11.5,61,113845
1,37,Other,4,13.5,61,189612
0,31,Tech,7,10.5,7,105705
0,32,Other,4,11.0,66,225519
1,29,Other,4,9.5,59,129672
0,26,Media,2,8.0,25,93235
1,34,Other,4,12.0,62,117441
0,37,Media,2,13.5,71,367155
1,29,Other,4,9.5,13,173667
0,33,Media,2,11.5,10,162667
0,31,Tech,7,10.5,61,197290
0,32,Tech,7,11.0,66,301858
1,26,Other,4,8.0,9,107952
0,38,Finance,1,14.0,90,148170
1,28,Operations,3,9.0,10,142833
0,35,Finance,1,12.5,93,119158
1,25,Other,4,7.5,14,84566
0,31,Media,2,10.5,48,224636
0,25,Other,4,7.5,6,44375
1,26,Tech,7,8.0,48,85372
0,27,Other,4,8.5,10,97613
0,40,Tech,7,15.0,147,222111
1,36,Operations,3,13.0,105,102970
0,37,Other,4,13.5,85,120781
1,26,Media,2,8.0,7,363633
1,25,Operations,3,7.5,9,85048
0,27,Other,4,8.5,21,78613
0,22,Tech,7,6.0,10,62087
0,29,Other,4,9.5,64,185687
0,31,Other,4,10.5,11,154733
1,25,Other,4,7.5,22,73679
1,30,Other,4,10.0,10,63902
0,30,Media,2,10.0,108,265008
0,30,Media,2,10.0,40,153353
0,36,Tech,7,13.0,88,382988
0,29,Operations,3,9.5,15,72547
0,34,Operations,3,12.0,85,235241
0,22,Operations,3,6.0,10,103039
0,25,Operations,3,7.5,9,114349
1,29,Other,4,9.5,31,96309
0,26,Other,4,8.0,9,123560
0,37,Other,4,13.5,65,231804
0,26,Other,4,8.0,8,68880
0,29,Other,4,9.5,36,61382
0,29,Other,4,9.5,55,102828
0,33,Other,4,11.5,95,211248
0,42,Media,2,16.0,65,480371
1,34,Other,4,12.0,86,195954
0,33,Other,4,11.5,59,122833
0,27,Tech,7,8.5,41,150322
0,27,Product,5,8.5,13,60500
0,37,Tech,7,13.5,120,337517
0,32,Engineering,0,11.0,25,216288
0,29,Media,2,9.5,29,97811
1,27,Other,4,8.5,7,112067
1,33,Tech,7,11.5,91,307862
0,40,Tech,7,15.0,89,280565
0,31,Other,4,10.5,38,135772
1,25,Other,4,7.5,10,64863
0,32,Engineering,0,11.0,51,93798
0,34,Tech,7,12.0,70,326066
0,29,Media,2,9.5,21,153567
0,42,Other,4,16.0,82,249559
1,27,Tech,7,8.5,22,50355
0,35,Media,2,12.5,24,264688
1,31,Other,4,10.5,10,111598
1,28,Finance,1,9.0,64,112973
0,28,Other,4,9.0,48,121822
0,23,Tech,7,6.5,12,73813
0,31,Tech,7,10.5,36,235638
0,30,Tech,7,10.0,59,99538
0,40,Engineering,0,15.0,162,313899
1,41,Tech,7,15.5,94,321718
1,30,Tech,7,10.0,31,118142
1,42,Finance,1,16.0,150,134700
0,22,Other,4,6.0,12,73622
0,38,Operations,3,14.0,164,280266
0,27,Media,2,8.5,23,155396
1,29,Other,4,9.5,56,132702
1,24,Media,2,7.0,30,89696
0,31,Tech,7,10.5,67,117331
0,33,Media,2,11.5,61,185842
1,32,Media,2,11.0,35,162967
0,31,Engineering,0,10.5,75,318763
1,28,Finance,1,9.0,62,93458
0,31,Finance,1,10.5,25,79035
0,34,Other,4,12.0,69,240797
1,27,Tech,7,8.5,11,114591
0,31,Media,2,10.5,12,198818
0,27,Other,4,8.5,9,154337
0,26,Tech,7,8.0,15,73236
1,27,Media,2,8.5,24,98565
0,35,Tech,7,12.5,38,188172
1,23,Other,4,6.5,24,89352
0,26,Other,4,8.0,16,103601
1,27,Media,2,8.5,14,150097
1,36,Other,4,13.0,33,96081
0,47,Tech,7,18.5,137,1024965
0,27,Tech,7,8.5,8,199333
0,27,Other,4,8.5,8,77795
0,32,Other,4,11.0,8,87300
0,35,Other,4,12.5,54,141472
1,31,Other,4,10.5,11,274165
0,30,Operations,3,10.0,71,156145
0,35,Other,4,12.5,123,232765
0,38,Engineering,0,14.0,77,320957
0,33,Tech,7,11.5,77,178437
0,24,Other,4,7.0,15,91968
0,31,Tech,7,10.5,89,253825
0,34,Tech,7,12.0,47,222235
0,36,Media,2,13.0,60,173960
0,34,Other,4,12.0,37,261896
1,25,Other,4,7.5,23,78816
0,33,Sales,6,11.5,35,183865
0,32,Other,4,11.0,43,163872
0,46,Other,4,18.0,173,942563
0,28,Tech,7,9.0,29,61959
1,25,Tech,7,7.5,14,85661
0,30,Tech,7,10.0,31,117700
0,32,Engineering,0,11.0,55,213898
1,32,Finance,1,11.0,70,104000
1,30,Tech,7,10.0,35,107751
0,28,Other,4,9.0,11,90250
0,36,Other,4,13.0,61,139103
0,34,Other,4,12.0,9,133725
0,33,Engineering,0,11.5,34,264179
1,33,Tech,7,11.5,90,148977
0,31,Engineering,0,10.5,33,133636
0,42,Media,2,16.0,23,289219
1,27,Product,5,8.5,72,135984
0,34,Tech,7,12.0,85,237598
0,30,Tech,7,10.0,60,166223
0,27,Tech,7,8.5,6,123287
0,29,Operations,3,9.5,74,172798
0,34,Other,4,12.0,117,223622
1,30,Other,4,10.0,29,89629
0,28,Other,4,9.0,69,106644
0,33,Media,2,11.5,90,291982
0,37,Operations,3,13.5,150,225669
0,43,Media,2,16.5,117,313945
0,32,Finance,1,11.0,72,111947
0,28,Other,4,9.0,12,71542
0,28,Other,4,9.0,22,99846
1,28,Tech,7,9.0,43,92211
0,30,Media,2,10.0,34,195495
1,37,Other,4,13.5,25,260309
0,34,Tech,7,12.0,43,121024
0,32,Sales,6,11.0,20,184904
1,29,Media,2,9.5,35,220634
1,32,Other,4,11.0,71,157291
0,35,Tech,7,12.5,50,335149
0,39,Other,4,14.5,41,177146
1,33,Tech,7,11.5,84,371471
0,38,Finance,1,14.0,69,108139
1,26,Media,2,8.0,41,156330
0,29,Engineering,0,9.5,34,170959
0,32,Tech,7,11.0,8,195114
